Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Somme_ligne
2025-07-21,0.0,-12.8,-1.9,-77.5,0.0,0.0,0.0,-2.5,0.0,-36.7,0.0,-131.4
2025-07-22,0.0,0.0,-42.3,-33.2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,-68.0
2025-07-23,142.6,-227.2,-1.9,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,-85.8
2025-07-24,32.5,106.6,29.8,0.0,0.0,3.5,0.0,46.4,0.0,0.0,7.9,226.70000000000002
2025-07-25,92.8,10.2,21.0,30.3,0.0,0.0,0.0,18.2,0.0,-50.5,8.8,130.8
2025-07-28,147.4,30.9,-14.8,-17.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,157.1
2025-07-29,157.6,0.0,-26.2,-8.2,0.0,0.0,0.0,5.8,0.0,-49.0,0.0,80.0
2025-07-30,34.4,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.099999999999994
2025-07-31,18.6,-53.6,0.0,-89.9,3.5,6.8,0.0,3.3,0.0,-9.2,5.7,-114.80000000000001
2025-08-01,-2.6,-331.4,-38.3,-327.9,-5.1,-6.6,0.0,0.0,0.0,-66.8,-33.6,-812.3000000000001
2025-08-04,-292.2,-40.1,18.7,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,-323.5
2025-08-05,-77.4,-99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.7,0.0,-196.2
2025-08-06,41.9,10.1,26.4,-5.4,0.0,0.0,0.0,4.1,0.0,14.5,0.0,91.6
2025-08-07,156.6,43.4,17.2,-0.4,0.0,3.4,0.0,21.5,0.0,18.5,17.2,277.4
2025-08-08,360.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,403.9
